% Model,BarMagnetPair.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 24 2021, 18:33"
% Dimension,3
% Nodes,7005
% Expressions,1
% Description,"Magnetic flux density, y component"
% Length unit,m
% X,Y,Z,mfnc.By (G)
-0.07047688369928617,-0.075,-3.469446951953614E-18,6.022897160729059E-4
-0.07499999999999998,-0.07499999999999998,0,-5.076447048722933E-4
-0.07165026401006372,-0.07251280441044786,1.0842021724855044E-19,4.3514264673585895E-4
-0.075,-0.07047688369928617,0,4.768837584917649E-4
-0.07005783968171139,-0.07195231356428612,0,-9.733855421619676E-4
-0.07066454496326735,-0.07167483408206352,-1.0842021724855044E-19,-0.0015258845799373817
-0.07322477694123203,-0.06686549050261048,0,-0.0012529911721735848
-0.07100572487001731,-0.06820262622859936,0,5.917212637464816E-4
-0.06811094368325793,-0.07319951363369202,1.0842021724855044E-19,8.661094898171354E-4
-0.06595376739857237,-0.07500000000000001,0,-5.551792852228369E-4
-0.075,-0.061430651097858543,-4.163336342344337E-17,5.554757949444192E-6
-0.07287887223903672,-0.06450518323977414,0,7.93718432313912E-4
-0.075,-0.06595376739857235,0,3.507772504813661E-4
-0.0714312199488953,-0.06524907620274213,0,-3.035995596049422E-4
-0.06605202275648901,-0.07308022677760576,0,2.46936883615652E-4
-0.0707768799455318,-0.06379018288494048,-2.1684043449710089E-19,-6.076008369730155E-4
-0.061430651097858543,-0.075,-4.0766001685454967E-17,-1.523615947406679E-4
-0.06505364641847192,-0.07123349138830133,-1.0842021724855044E-19,1.259430002680969E-4
-0.07202020063723534,-0.058602233947449275,-3.2526065174565133E-19,5.585633778478284E-4
-0.07268412921565567,-0.058219947223928266,-1.0842021724855044E-19,7.614967041457187E-4
-0.075,-0.05690753479714473,2.1684043449710089E-19,-1.4725576368221224E-17
-0.075,-0.052384418496430905,-7.632783294297951E-17,-1.9341765589665028E-5
-0.07187018231740637,-0.05786553282642715,0,-1.6789102888743895E-4
-0.056907534797144735,-0.07500000000000001,0,-1.3242699523195503E-4
-0.05814965167322858,-0.07285899309189464,-2.1684043449710089E-19,5.043567759385318E-4
-0.05932513834558041,-0.07119041488792899,-1.0842021724855044E-19,-5.156983546138463E-4
-0.05238441849643091,-0.075,-5.984795992119984E-17,7.434411000334222E-6
-0.05545435188569879,-0.07232915275138424,-5.421010862427522E-20,5.556484526413451E-4
-0.05598327221182238,-0.07174930897373659,0,-2.874203610786665E-4
-0.07249104902988204,-0.04868851684464032,1.2197274440461925E-19,0.0011306670741934928
-0.07500000000000001,-0.047861302195717104,0,3.79753794356302E-18
-0.07240353463257883,-0.04887514105292774,6.776263578034403E-20,-5.247635485191724E-4
-0.05444108736717228,-0.07181899428429338,0,8.649756010217369E-4
-0.051818984603789954,-0.0719183243578513,1.0842021724855044E-19,4.8358042947370736E-4
-0.049383040954058974,-0.0737346422242807,-2.1684043449710089E-19,4.279845442149178E-4
-0.04786130219571709,-0.075,0,-0.0022446785034739123
-0.048726759619227775,-0.07143360599707879,2.1684043449710089E-19,0.0018080664409775922
-0.04796894019419415,-0.07215217966863946,3.2526065174565133E-19,0.0013182621940278948
