% Model,CdMOT_permanent_magnets_Sid.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 20 2023, 15:16"
% Dimension,2
% Nodes,10000
% Expressions,1
% Description,"Magnetic flux density, z component"
% Length unit,m
% R,Z,mfnc.Bz (G)
5.0E-4,-0.09900000000000002,-3.783568102473245
0.0015,-0.09900000000000002,-3.7810077173072916
0.0025000000000000005,-0.09900000000000002,-3.7747628554240626
0.0035000000000000005,-0.09900000000000002,-3.7657950470513586
0.0045,-0.09900000000000002,-3.753097489437897
0.0055000000000000005,-0.09900000000000002,-3.737832730128033
0.006500000000000001,-0.09900000000000002,-3.7192876194488544
0.0075,-0.09900000000000002,-3.6980857809846968
0.0085,-0.09900000000000002,-3.673790015312215
0.009500000000000001,-0.09900000000000002,-3.6468017594463107
0.0105,-0.09900000000000002,-3.616945149615576
0.011500000000000002,-0.09900000000000002,-3.584478647700303
0.0125,-0.09900000000000002,-3.549335759661236
0.013500000000000002,-0.09900000000000002,-3.5117283010251885
0.014499999999999999,-0.09900000000000002,-3.4716456269127813
0.0155,-0.09900000000000002,-3.429264882402086
0.0165,-0.09900000000000002,-3.3846281368927102
0.017499999999999998,-0.09900000000000002,-3.3378828026207663
0.0185,-0.09900000000000002,-3.2891100179495063
0.019500000000000003,-0.09900000000000002,-3.2384412640884035
0.0205,-0.09900000000000002,-3.1859832719159886
0.021500000000000002,-0.09900000000000002,-3.1318576393444397
0.022500000000000003,-0.09900000000000002,-3.076187306717742
0.0235,-0.09900000000000002,-3.0190888310396744
0.0245,-0.09900000000000002,-2.960695430049108
0.025500000000000002,-0.09900000000000002,-2.9011187886863468
0.026500000000000003,-0.09900000000000002,-2.8404988357357426
0.027500000000000004,-0.09900000000000002,-2.7789423572168594
0.028499999999999998,-0.09900000000000002,-2.7165924764811105
0.0295,-0.09900000000000002,-2.653550933081854
0.0305,-0.09900000000000002,-2.5899608396942027
0.0315,-0.09900000000000002,-2.5259186602967
0.0325,-0.09900000000000002,-2.4615646039121533
0.0335,-0.09900000000000002,-2.3969895979390525
0.034499999999999996,-0.09900000000000002,-2.332328387373587
0.0355,-0.09900000000000002,-2.2676661060968306
0.0365,-0.09900000000000002,-2.203129825360766
0.037500000000000006,-0.09900000000000002,-2.1387986592556207
0.038500000000000006,-0.09900000000000002,-2.074790159041522
0.03950000000000001,-0.09900000000000002,-2.0111772423679697
0.04050000000000001,-0.09900000000000002,-1.9480664630902222
0.0415,-0.09900000000000002,-1.8855244279723375
0.0425,-0.09900000000000002,-1.8236455817695165
0.043500000000000004,-0.09900000000000002,-1.7624901752918976
0.044500000000000005,-0.09900000000000002,-1.7021397864751997
0.045500000000000006,-0.09900000000000002,-1.6426483370797726
0.04650000000000001,-0.09900000000000002,-1.584084114666019
0.0475,-0.09900000000000002,-1.5264948096197943
0.0485,-0.09900000000000002,-1.4699353029234106
0.0495,-0.09900000000000002,-1.4144472177810299
0.0505,-0.09900000000000002,-1.3600721873541324
0.051500000000000004,-0.09900000000000002,-1.3068459917876103
0.052500000000000005,-0.09900000000000002,-1.254797413767867
0.053500000000000006,-0.09900000000000002,-1.2039566661909518
0.05450000000000001,-0.09900000000000002,-1.1543402785072232
0.05550000000000001,-0.09900000000000002,-1.1059732145945023
0.056499999999999995,-0.09900000000000002,-1.0588605083703007
0.057499999999999996,-0.09900000000000002,-1.0130222256115897
0.058499999999999996,-0.09900000000000002,-0.9684527841442132
0.0595,-0.09900000000000002,-0.9251677255298159
0.0605,-0.09900000000000002,-0.8831518158812448
0.0615,-0.09900000000000002,-0.8424164600887514
0.0625,-0.09900000000000002,-0.8029377879666961
0.0635,-0.09900000000000002,-0.764723460340693
0.0645,-0.09900000000000002,-0.7277420068861612
0.0655,-0.09900000000000002,-0.6919977343713085
0.0665,-0.09900000000000002,-0.6574526030157383
0.0675,-0.09900000000000002,-0.6241079463483338
0.0685,-0.09900000000000002,-0.5919201584147079
0.06949999999999999,-0.09900000000000002,-0.5608879656854129
0.0705,-0.09900000000000002,-0.5309631542939365
0.0715,-0.09900000000000002,-0.5021421909604623
0.0725,-0.09900000000000002,-0.4743731534662383
0.0735,-0.09900000000000002,-0.44765057431602556
0.0745,-0.09900000000000002,-0.42191965383239144
0.07550000000000001,-0.09900000000000002,-0.39717329239517524
0.07650000000000001,-0.09900000000000002,-0.37335456847486553
0.07750000000000001,-0.09900000000000002,-0.35045502750324453
0.07850000000000001,-0.09900000000000002,-0.3284163094229977
0.07950000000000002,-0.09900000000000002,-0.3072288456411974
0.08050000000000002,-0.09900000000000002,-0.28683350939369734
0.0815,-0.09900000000000002,-0.2672196964688618
0.0825,-0.09900000000000002,-0.24832826090255417
0.0835,-0.09900000000000002,-0.2301474606085861
0.0845,-0.09900000000000002,-0.2126189108327931
0.0855,-0.09900000000000002,-0.19572959856533265
0.08650000000000001,-0.09900000000000002,-0.17942240572634913
0.08750000000000001,-0.09900000000000002,-0.16368293458635522
0.08850000000000001,-0.09900000000000002,-0.1484565300956293
0.08950000000000001,-0.09900000000000002,-0.13372717585898136
0.09050000000000001,-0.09900000000000002,-0.11944179126676482
0.09150000000000001,-0.09900000000000002,-0.10558443110679387
0.09250000000000001,-0.09900000000000002,-0.09210335278185496
0.09350000000000001,-0.09900000000000002,-0.07898369606988127
0.0945,-0.09900000000000002,-0.06617150172389286
0.0955,-0.09900000000000002,-0.05366112822802578
0.0965,-0.09900000000000002,-0.04138561972765995
0.0975,-0.09900000000000002,-0.029354042319975314
0.0985,-0.09900000000000002,-0.017476953742670946
0.0995,-0.09900000000000002,-0.005801602006385654
5.0E-4,-0.09700000000000002,-3.808392779975693
0.0015,-0.09700000000000002,-3.8039899472014698
0.0025000000000000005,-0.09700000000000002,-3.7992455260668536
0.0035000000000000005,-0.09700000000000002,-3.78981209093584
0.0045,-0.09700000000000002,-3.776848054397088
0.0055000000000000005,-0.09700000000000002,-3.7604230987317018
0.006500000000000001,-0.09700000000000002,-3.742285131173633
0.0075,-0.09700000000000002,-3.720506762302111
0.0085,-0.09700000000000002,-3.6961460695751254
0.009500000000000001,-0.09700000000000002,-3.668689540897078
0.0105,-0.09700000000000002,-3.6385184703721327
0.011500000000000002,-0.09700000000000002,-3.6055898496121674
0.0125,-0.09700000000000002,-3.570016449873324
0.013500000000000002,-0.09700000000000002,-3.53193859395851
0.014499999999999999,-0.09700000000000002,-3.4913287020835844
0.0155,-0.09700000000000002,-3.4484757823265757
0.0165,-0.09700000000000002,-3.403224004599436
0.017499999999999998,-0.09700000000000002,-3.355995605067274
0.0185,-0.09700000000000002,-3.3065458765032316
0.019500000000000003,-0.09700000000000002,-3.2553766972200777
0.0205,-0.09700000000000002,-3.202192709899945
0.021500000000000002,-0.09700000000000002,-3.1475504740211564
0.022500000000000003,-0.09700000000000002,-3.0911209581148658
0.0235,-0.09700000000000002,-3.0334928743421887
0.0245,-0.09700000000000002,-2.974318656351533
0.025500000000000002,-0.09700000000000002,-2.9142057724370094
