% Model,CdMOT_permanent_magnets_Sid.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 8 2023, 12:18"
% Dimension,2
% Nodes,10000
% Expressions,1
% Description,"Magnetic flux density, z component"
% Length unit,m
% R,Z,mfnc.Bz (G)
5.0E-4,-0.09900000000000002,-4.29401896675775
0.0015,-0.09900000000000002,-4.290964726446994
0.0025000000000000005,-0.09900000000000002,-4.28356650091698
0.0035000000000000005,-0.09900000000000002,-4.272942027575945
0.0045,-0.09900000000000002,-4.25792236343667
0.0055000000000000005,-0.09900000000000002,-4.239850118141191
0.006500000000000001,-0.09900000000000002,-4.217907180742797
0.0075,-0.09900000000000002,-4.192828445100984
0.0085,-0.09900000000000002,-4.16409313699061
0.009500000000000001,-0.09900000000000002,-4.132200301136318
0.0105,-0.09900000000000002,-4.09692715512973
0.011500000000000002,-0.09900000000000002,-4.058602348986883
0.0125,-0.09900000000000002,-4.01714667295552
0.013500000000000002,-0.09900000000000002,-3.9728145928692244
0.014499999999999999,-0.09900000000000002,-3.925607746030805
0.0155,-0.09900000000000002,-3.875729993517533
0.0165,-0.09900000000000002,-3.8232492534171163
0.017499999999999998,-0.09900000000000002,-3.7683355967940697
0.0185,-0.09900000000000002,-3.711100970416219
0.019500000000000003,-0.09900000000000002,-3.6516986909181997
0.0205,-0.09900000000000002,-3.5902655501600815
0.021500000000000002,-0.09900000000000002,-3.526947639139876
0.022500000000000003,-0.09900000000000002,-3.461897610460705
0.0235,-0.09900000000000002,-3.395255085139075
0.0245,-0.09900000000000002,-3.3271836352290953
0.025500000000000002,-0.09900000000000002,-3.2578165595854127
0.026500000000000003,-0.09900000000000002,-3.1873236385535093
0.027500000000000004,-0.09900000000000002,-3.115831791793165
0.028499999999999998,-0.09900000000000002,-3.043512724609443
0.0295,-0.09900000000000002,-2.9704867754971804
0.0305,-0.09900000000000002,-2.896923731131123
0.0315,-0.09900000000000002,-2.8229370770300735
0.0325,-0.09900000000000002,-2.748691290171071
0.0335,-0.09900000000000002,-2.6742927169460056
0.034499999999999996,-0.09900000000000002,-2.599897600873523
0.0355,-0.09900000000000002,-2.525604888461324
0.0365,-0.09900000000000002,-2.4515601432911622
0.037500000000000006,-0.09900000000000002,-2.3778547044509204
0.038500000000000006,-0.09900000000000002,-2.3046214881789386
0.03950000000000001,-0.09900000000000002,-2.231944090163157
0.04050000000000001,-0.09900000000000002,-2.1599412829860203
0.0415,-0.09900000000000002,-2.088688865128901
0.0425,-0.09900000000000002,-2.018290422271063
0.043500000000000004,-0.09900000000000002,-1.948813988366102
0.044500000000000005,-0.09900000000000002,-1.8803473445729393
0.045500000000000006,-0.09900000000000002,-1.8129508786958344
0.04650000000000001,-0.09900000000000002,-1.7466963398447366
0.0475,-0.09900000000000002,-1.681636668954423
0.0485,-0.09900000000000002,-1.617827703716307
0.0495,-0.09900000000000002,-1.555315210557033
0.0505,-0.09900000000000002,-1.4941395381562637
0.051500000000000004,-0.09900000000000002,-1.4343396139384332
0.052500000000000005,-0.09900000000000002,-1.3759409729005414
0.053500000000000006,-0.09900000000000002,-1.3189760908726496
0.05450000000000001,-0.09900000000000002,-1.2634565679863166
0.05550000000000001,-0.09900000000000002,-1.2094088559477214
0.056499999999999995,-0.09900000000000002,-1.1568316540123644
0.057499999999999996,-0.09900000000000002,-1.1057458454599678
0.058499999999999996,-0.09900000000000002,-1.0561383720693873
0.0595,-0.09900000000000002,-1.008025021271898
0.0605,-0.09900000000000002,-0.9613821881054954
0.0615,-0.09900000000000002,-0.9162210431276815
0.0625,-0.09900000000000002,-0.8725086751437062
0.0635,-0.09900000000000002,-0.8302521138530993
0.0645,-0.09900000000000002,-0.7894103795730951
0.0655,-0.09900000000000002,-0.7499868261428877
0.0665,-0.09900000000000002,-0.7119336131075299
0.0675,-0.09900000000000002,-0.6752508657426529
0.0685,-0.09900000000000002,-0.6398850385435618
0.06949999999999999,-0.09900000000000002,-0.6058334525439607
0.0705,-0.09900000000000002,-0.5730379438097708
0.0715,-0.09900000000000002,-0.5414934273156691
0.0725,-0.09900000000000002,-0.5111381256778061
0.0735,-0.09900000000000002,-0.48196491512964673
0.0745,-0.09900000000000002,-0.4539093206621772
0.07550000000000001,-0.09900000000000002,-0.426962522394644
0.07650000000000001,-0.09900000000000002,-0.4010581749447244
0.07750000000000001,-0.09900000000000002,-0.3761860353071144
0.07850000000000001,-0.09900000000000002,-0.3522787057047792
0.07950000000000002,-0.09900000000000002,-0.32932461903756505
0.08050000000000002,-0.09900000000000002,-0.30725624901759013
0.0815,-0.09900000000000002,-0.2860605252349929
0.0825,-0.09900000000000002,-0.26567097682289903
0.0835,-0.09900000000000002,-0.2460722724454511
0.0845,-0.09900000000000002,-0.22720066015695392
0.0855,-0.09900000000000002,-0.2090378887345562
0.08650000000000001,-0.09900000000000002,-0.19152320083037547
0.08750000000000001,-0.09900000000000002,-0.17463626476024208
0.08850000000000001,-0.09900000000000002,-0.15831923212114976
0.08950000000000001,-0.09900000000000002,-0.14255009298069576
0.09050000000000001,-0.09900000000000002,-0.12727289094839167
0.09150000000000001,-0.09900000000000002,-0.11246676977284265
0.09250000000000001,-0.09900000000000002,-0.09807564169037121
0.09350000000000001,-0.09900000000000002,-0.0840816623870723
0.0945,-0.09900000000000002,-0.07042521996726493
0.0955,-0.09900000000000002,-0.057099334249463014
0.0965,-0.09900000000000002,-0.044029814650975496
0.0975,-0.09900000000000002,-0.03122608599230804
0.0985,-0.09900000000000002,-0.018589897211958615
0.0995,-0.09900000000000002,-0.006170720740558688
