% Model,CdMOT_permanent_magnets_Sid.mph
% Version,COMSOL 5.4.0.388
% Date,"May 18 2021, 11:35"
% Dimension,2
% Nodes,10000
% Expressions,1
% Description,"Magnetic flux density, r component"
% Length unit,m
% R,Z,mfnc.Br (G)
5.0E-4,-0.0495,0.11699568224715809
0.0015,-0.0495,0.11699568224733811
0.0025000000000000005,-0.0495,0.11699568224766668
0.0035000000000000005,-0.0495,0.1070955220130489
0.0045,-0.0495,0.2887574790720798
0.0055000000000000005,-0.0495,0.2887574790720301
0.006500000000000001,-0.0495,0.28875747907203153
0.0075,-0.0495,0.37307755171662427
0.0085,-0.0495,0.4777079995700213
0.009500000000000001,-0.0495,0.47770799957011845
0.0105,-0.0495,0.4777079995699398
0.011500000000000002,-0.0495,0.6532257455449728
0.0125,-0.0495,0.6532257455447757
0.013500000000000002,-0.0495,0.6532257455449243
0.014499999999999999,-0.0495,0.6532257455446914
0.0155,-0.0495,0.7897972307796622
0.0165,-0.0495,0.7897972307789879
0.017499999999999998,-0.0495,0.7897972307788935
0.0185,-0.0495,0.8100112412059536
0.019500000000000003,-0.0495,0.8642299313725634
0.0205,-0.0495,0.8642299313725049
0.021500000000000002,-0.0495,0.8642299313723735
0.022500000000000003,-0.0495,0.8520389716546679
0.0235,-0.0495,0.8648336834889268
0.0245,-0.0495,0.8648336834888404
0.025500000000000002,-0.0495,0.8648336834889075
0.026500000000000003,-0.0495,0.7981950447972491
0.027500000000000004,-0.0495,0.7981950447973476
0.028499999999999998,-0.0495,0.7981950447973013
0.0295,-0.0495,0.7556966911594235
0.0305,-0.0495,0.6845801196992284
0.0315,-0.0495,0.684580119699202
0.0325,-0.0495,0.6845801196991202
0.0335,-0.0495,0.5716431373026261
0.034499999999999996,-0.0495,0.5489449709023231
0.0355,-0.0495,0.5489449709023988
0.0365,-0.0495,0.5489449709023789
0.037500000000000006,-0.0495,0.41314387888428
0.038500000000000006,-0.0495,0.41314387888426657
0.03950000000000001,-0.0495,0.41314387888427756
0.04050000000000001,-0.0495,0.3967424895644945
0.0415,-0.0495,0.2917280599594615
0.0425,-0.0495,0.29172805995945245
0.043500000000000004,-0.0495,0.2917280599594629
0.044500000000000005,-0.0495,0.23139818604848342
0.045500000000000006,-0.0495,0.19161578904793564
0.04650000000000001,-0.0495,0.19161578904792834
0.0475,-0.0495,0.19161578904792684
0.0485,-0.0495,0.11403823352542569
0.0495,-0.0495,0.11403823352540819
0.0505,-0.0495,0.11403823352541952
0.051500000000000004,-0.0495,0.11403823352539309
0.052500000000000005,-0.0495,0.056905540055158556
0.053500000000000006,-0.0495,0.05690554005513311
0.05450000000000001,-0.0495,0.056905540055146864
0.05550000000000001,-0.0495,0.04091676475623421
0.056499999999999995,-0.0495,0.0166884812637392
0.057499999999999996,-0.0495,0.016688481263718663
0.058499999999999996,-0.0495,0.01668848126372991
0.0595,-0.0495,-0.006729190231840635
0.0605,-0.0495,-0.010389299664201256
0.0615,-0.0495,-0.010389299664201256
0.0625,-0.0495,-0.010389299664195184
0.0635,-0.0495,-0.027734445301020327
0.0645,-0.0495,-0.027734445301051933
0.0655,-0.0495,-0.02773444530104122
0.0665,-0.0495,-0.02982253728743716
0.0675,-0.0495,-0.038146735984857426
0.0685,-0.0495,-0.03814673598485135
0.06949999999999999,-0.0495,-0.03814673598483635
0.0705,-0.0495,-0.04183286225789371
0.0715,-0.0495,-0.043793947763597525
0.0725,-0.0495,-0.04379394776361038
0.0735,-0.0495,-0.04379394776360244
0.0745,-0.0495,-0.04628786999352369
0.07550000000000001,-0.0495,-0.04628786999354208
0.07650000000000001,-0.0495,-0.04628786999354547
0.07750000000000001,-0.0495,-0.04622134596959062
0.07850000000000001,-0.0495,-0.046788022080276645
0.07950000000000002,-0.0495,-0.04678802208026084
0.08050000000000002,-0.0495,-0.046788022080261824
0.0815,-0.0495,-0.046337873317435066
0.0825,-0.0495,-0.04610170118851797
0.0835,-0.0495,-0.046101701188522304
0.0845,-0.0495,-0.046101701188520285
0.0855,-0.0495,-0.044721702903499985
0.08650000000000001,-0.0495,-0.044778716086065574
0.08750000000000001,-0.0495,-0.04477871608605878
0.08850000000000001,-0.0495,-0.044778716086055964
0.08950000000000001,-0.0495,-0.04318535159341274
0.09050000000000001,-0.0495,-0.043185351593408076
0.09150000000000001,-0.0495,-0.04318535159341147
0.09250000000000001,-0.0495,-0.04256125689558836
0.09350000000000001,-0.0495,-0.04156100661181755
0.0945,-0.0495,-0.04156100661181295
0.0955,-0.0495,-0.04156100661181275
0.0965,-0.0495,-0.03996307503657677
0.0975,-0.0495,-0.04009390538011168
0.0985,-0.0495,-0.04009390538011043
0.0995,-0.0495,-0.03921472423841281
5.0E-4,-0.0485,-0.006270502040390615
