% Model,Single_magnet_ZeemanSlower.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 3 2021, 14:07"
% Dimension,2
% Nodes,10000
% Expressions,1
% Description,
% Length unit,m
% R,Z,mfnc2.Bz (G)
5.000000000000001E-4,-0.07920000000000002,23.337516146341326
0.0015000000000000002,-0.07920000000000002,23.327946422850474
0.0025000000000000005,-0.07920000000000002,23.281963733336866
0.003500000000000001,-0.07920000000000002,23.216713429702384
0.0045000000000000005,-0.07920000000000002,23.11349122394301
0.005500000000000001,-0.07920000000000002,23.00211663474141
0.0065000000000000014,-0.07920000000000002,22.867832097162875
0.0075000000000000015,-0.07920000000000002,22.700039887798752
0.008500000000000002,-0.07920000000000002,22.520844500484912
0.009500000000000001,-0.07920000000000002,22.32451537869628
0.010500000000000002,-0.07920000000000002,22.097292994623228
0.011500000000000003,-0.07920000000000002,21.857212065196368
0.012500000000000002,-0.07920000000000002,21.60458508952027
0.013500000000000003,-0.07920000000000002,21.324605095681946
0.014500000000000002,-0.07920000000000002,21.031931356453907
0.015500000000000003,-0.07920000000000002,20.73108641067544
0.016500000000000004,-0.07920000000000002,20.407036800724118
0.0175,-0.07920000000000002,20.071051094177605
0.018500000000000003,-0.07920000000000002,19.730760847583966
0.019500000000000003,-0.07920000000000002,19.37179334444079
0.020500000000000004,-0.07920000000000002,19.002717247756774
0.021500000000000005,-0.07920000000000002,18.632153171388527
0.022500000000000006,-0.07920000000000002,18.247537484602745
0.023500000000000004,-0.07920000000000002,17.855734833148322
0.024500000000000004,-0.07920000000000002,17.46393218169416
0.025500000000000005,-0.07920000000000002,17.062878096546534
0.026500000000000006,-0.07920000000000002,16.65828947203576
0.027500000000000007,-0.07920000000000002,16.253700847524982
0.028500000000000004,-0.07920000000000002,15.845099538464051
0.029500000000000005,-0.07920000000000002,15.43672771806708
0.030500000000000006,-0.07920000000000002,15.028421850839715
0.03150000000000001,-0.07920000000000002,14.619808308623133
0.03250000000000001,-0.07920000000000002,14.21463911372079
0.03350000000000001,-0.07920000000000002,13.810505217998175
0.0345,-0.07920000000000002,13.408329160434596
0.035500000000000004,-0.07920000000000002,13.0122591031107
0.036500000000000005,-0.07920000000000002,12.6188314486437
0.037500000000000006,-0.07920000000000002,12.22839218667074
0.038500000000000006,-0.07920000000000002,11.846171527336617
0.03950000000000001,-0.07920000000000002,11.468576553230037
0.04050000000000001,-0.07920000000000002,11.094020837340397
0.04150000000000001,-0.07920000000000002,10.729273989430462
0.04250000000000001,-0.07920000000000002,10.371275107926843
0.04350000000000001,-0.07920000000000002,10.015653345078306
0.04450000000000001,-0.07920000000000002,9.670951174045037
0.04550000000000001,-0.07920000000000002,9.335063546893743
0.046500000000000014,-0.07920000000000002,9.000428243325173
0.04750000000000001,-0.07920000000000002,8.677397190525607
0.04850000000000001,-0.07920000000000002,8.365046145572185
0.04950000000000001,-0.07920000000000002,8.052695100618658
0.05050000000000001,-0.07920000000000002,7.752028694659726
0.05150000000000001,-0.07920000000000002,7.463728706515483
0.05250000000000001,-0.07920000000000002,7.175428718371375
0.05350000000000001,-0.07920000000000002,6.8972072614968845
0.054500000000000014,-0.07920000000000002,6.63147439872074
0.055500000000000015,-0.07920000000000002,6.367010387027122
0.05650000000000001,-0.07920000000000002,6.1110129370780255
0.05750000000000001,-0.07920000000000002,5.866947296519049
0.05850000000000001,-0.07920000000000002,5.625545278503905
0.05950000000000001,-0.07920000000000002,5.39090419818618
0.06050000000000001,-0.07920000000000002,5.167520166145271
0.06150000000000001,-0.07920000000000002,4.947999230940665
0.06250000000000001,-0.07920000000000002,4.733564449311066
0.06350000000000001,-0.07920000000000002,4.529632776708561
0.06450000000000002,-0.07920000000000002,4.330534390705549
0.06550000000000002,-0.07920000000000002,4.134963631960383
0.06650000000000002,-0.07920000000000002,3.9490946912935287
0.06750000000000002,-0.07920000000000002,3.768788367563424
0.06850000000000002,-0.07920000000000002,3.5906209581618316
0.0695,-0.07920000000000002,3.421332269488248
0.07050000000000001,-0.07920000000000002,3.258098757749213
0.07150000000000001,-0.07920000000000002,3.0958141993393595
0.07250000000000001,-0.07920000000000002,2.941583605188533
0.07350000000000001,-0.07920000000000002,2.7936777875422774
0.07450000000000001,-0.07920000000000002,2.6457719698960633
0.07550000000000001,-0.07920000000000002,2.5050475089119484
0.07650000000000001,-0.07920000000000002,2.370743500868866
0.07750000000000001,-0.07920000000000002,2.2364394928257556
0.07850000000000001,-0.07920000000000002,2.107562395109501
0.07950000000000002,-0.07920000000000002,1.984614698514819
0.08050000000000002,-0.07920000000000002,1.8622372153655729
0.08150000000000002,-0.07920000000000002,1.743913635024708
0.08250000000000002,-0.07920000000000002,1.630777274408319
0.08350000000000002,-0.07920000000000002,1.5187156991401134
0.08450000000000002,-0.07920000000000002,1.4095642813374791
0.08550000000000002,-0.07920000000000002,1.3049074613355853
0.08650000000000002,-0.07920000000000002,1.2016409259685827
0.08750000000000002,-0.07920000000000002,1.1003671559168375
0.08850000000000002,-0.07920000000000002,1.002898401247334
0.08950000000000002,-0.07920000000000002,0.9069921054298191
0.09050000000000002,-0.07920000000000002,0.8123965159908035
0.09150000000000003,-0.07920000000000002,0.7208966524551459
0.09250000000000003,-0.07920000000000002,0.6310147993240267
0.09350000000000003,-0.07920000000000002,0.5419661334986754
0.09450000000000001,-0.07920000000000002,0.4553074743099295
0.09550000000000002,-0.07920000000000002,0.37015641009338335
0.09650000000000002,-0.07920000000000002,0.2856212318328182
0.09750000000000002,-0.07920000000000002,0.20282919339982297
