% Model,Single_magnet_ZeemanSlower.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 3 2021, 14:07"
% Dimension,2
% Nodes,10000
% Expressions,1
% Description,"Magnetic flux density, r component"
% Length unit,m
% R,Z,mfnc2.Br (G)
5.000000000000001E-4,-0.07920000000000002,0.010062310145675303
0.0015000000000000002,-0.07920000000000002,-0.03678615161062645
0.0025000000000000005,-0.07920000000000002,-0.036786151610766454
0.003500000000000001,-0.07920000000000002,-0.0757452861413708
0.0045000000000000005,-0.07920000000000002,-0.08909967136120274
0.005500000000000001,-0.07920000000000002,-0.08909967136135846
0.0065000000000000014,-0.07920000000000002,-0.12341220901655052
0.0075000000000000015,-0.07920000000000002,-0.14335630985097686
0.008500000000000002,-0.07920000000000002,-0.14335630985118972
0.009500000000000001,-0.07920000000000002,-0.16961963251475
0.010500000000000002,-0.07920000000000002,-0.192064743541484
0.011500000000000003,-0.07920000000000002,-0.19206474354158257
0.012500000000000002,-0.07920000000000002,-0.21101783777943495
0.013500000000000003,-0.07920000000000002,-0.23413899138241578
0.014500000000000002,-0.07920000000000002,-0.23413899138244437
0.015500000000000003,-0.07920000000000002,-0.24598908062627223
0.016500000000000004,-0.07920000000000002,-0.26878856523721695
0.0175,-0.07920000000000002,-0.2687885652371198
0.018500000000000003,-0.07920000000000002,-0.2747027695695874
0.019500000000000003,-0.07920000000000002,-0.29526087734717515
0.020500000000000004,-0.07920000000000002,-0.29526087734716655
0.021500000000000005,-0.07920000000000002,-0.29714808001870535
0.022500000000000006,-0.07920000000000002,-0.31344212116362646
0.023500000000000004,-0.07920000000000002,-0.31344212116356646
0.024500000000000004,-0.07920000000000002,-0.31344212116340936
0.025500000000000005,-0.07920000000000002,-0.3236708996087661
0.026500000000000006,-0.07920000000000002,-0.3236708996085975
0.027500000000000007,-0.07920000000000002,-0.3236708996086461
0.028500000000000004,-0.07920000000000002,-0.32626079140689784
0.029500000000000005,-0.07920000000000002,-0.3266446937819199
0.030500000000000006,-0.07920000000000002,-0.3266446937819885
0.03150000000000001,-0.07920000000000002,-0.3240968621434683
0.03250000000000001,-0.07920000000000002,-0.32330711657819267
0.03350000000000001,-0.07920000000000002,-0.32330711657811406
0.0345,-0.07920000000000002,-0.3179098664786684
0.035500000000000004,-0.07920000000000002,-0.3147421235735478
0.036500000000000005,-0.07920000000000002,-0.31474212357365705
0.037500000000000006,-0.07920000000000002,-0.3083933825353082
0.038500000000000006,-0.07920000000000002,-0.30207597928530316
0.03950000000000001,-0.07920000000000002,-0.30207597928553104
0.04050000000000001,-0.07920000000000002,-0.2962287368769712
0.04150000000000001,-0.07920000000000002,-0.28639910520284356
0.04250000000000001,-0.07920000000000002,-0.28639910520299144
0.04350000000000001,-0.07920000000000002,-0.282065870310287
0.04450000000000001,-0.07920000000000002,-0.26871010172101656
0.04550000000000001,-0.07920000000000002,-0.26871010172093873
0.046500000000000014,-0.07920000000000002,-0.2665057757037251
0.04750000000000001,-0.07920000000000002,-0.2498808359626917
0.04850000000000001,-0.07920000000000002,-0.24988083596284957
0.04950000000000001,-0.07920000000000002,-0.2498808359627124
0.05050000000000001,-0.07920000000000002,-0.23063999051533216
0.05150000000000001,-0.07920000000000002,-0.23063999051530928
0.05250000000000001,-0.07920000000000002,-0.230639990515325
0.05350000000000001,-0.07920000000000002,-0.2136145572397249
0.054500000000000014,-0.07920000000000002,-0.2115712093548894
0.055500000000000015,-0.07920000000000002,-0.21157120935495366
0.05650000000000001,-0.07920000000000002,-0.19746903182934922
0.05750000000000001,-0.07920000000000002,-0.19312161441212294
0.05850000000000001,-0.07920000000000002,-0.19312161441211081
0.05950000000000001,-0.07920000000000002,-0.18198811399450993
0.06050000000000001,-0.07920000000000002,-0.17561674816368295
0.06150000000000001,-0.07920000000000002,-0.17561674816368475
0.06250000000000001,-0.07920000000000002,-0.1673203028366641
0.06350000000000001,-0.07920000000000002,-0.15927870880240494
0.06450000000000002,-0.07920000000000002,-0.1592787088024517
0.06550000000000002,-0.07920000000000002,-0.15357081773607462
0.06650000000000002,-0.07920000000000002,-0.14424505898411383
0.06750000000000002,-0.07920000000000002,-0.14424505898403633
0.06850000000000002,-0.07920000000000002,-0.14080811567458484
0.0695,-0.07920000000000002,-0.13058680939123465
0.07050000000000001,-0.07920000000000002,-0.13058680939117356
0.07150000000000001,-0.07920000000000002,-0.1290701751594955
0.07250000000000001,-0.07920000000000002,-0.11832465411699172
0.07350000000000001,-0.07920000000000002,-0.11832465411700406
0.07450000000000001,-0.07920000000000002,-0.11832465411696388
0.07550000000000001,-0.07920000000000002,-0.10744320643446578
0.07650000000000001,-0.07920000000000002,-0.10744320643449669
0.07750000000000001,-0.07920000000000002,-0.10744320643449366
0.07850000000000001,-0.07920000000000002,-0.09888861278773468
0.07950000000000002,-0.07920000000000002,-0.09790198651937787
0.08050000000000002,-0.07920000000000002,-0.09790198651934823
0.08150000000000002,-0.07920000000000002,-0.09152670407511965
0.08250000000000002,-0.07920000000000002,-0.0896492602145585
0.08350000000000002,-0.07920000000000002,-0.08964926021456243
0.08450000000000002,-0.07920000000000002,-0.08507957537596009
0.08550000000000002,-0.07920000000000002,-0.08261322829360318
0.08650000000000002,-0.07920000000000002,-0.08261322829359889
0.08750000000000002,-0.07920000000000002,-0.07951975757687585
0.08850000000000002,-0.07920000000000002,-0.07672503665401255
0.08950000000000002,-0.07920000000000002,-0.07672503665401738
0.09050000000000002,-0.07920000000000002,-0.0747549268214248
0.09150000000000003,-0.07920000000000002,-0.07190548250489012
